pollno,race,year,location,type_simple,type_detail,pollster,partisan,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment
5383716,2008_Pres-G_WY,2008,WY,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/14/08,625,Democrat,32,Republican,58,NA,-26,11/4/08,31.31,62.33,-31.02,5.02,5.02,1,NA
5383735,2008_Pres-G_AK,2008,AK,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,38,Republican,57,NA,-19,11/4/08,37.89,59.42,-21.53,2.53,2.53,1,NA
5383736,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,43,Republican,49,NA,-6,11/4/08,46.99,52.2,-5.21,0.79,-0.79,1,NA
5383737,2008_Pres-G_ME,2008,ME,Pres-G,Pres-G,Pan Atlantic SMS Group,NA,10/15/08,400,Democrat,51.3,Republican,38.5,NA,12.8,11/4/08,57.71,40.38,17.33,4.53,-4.53,1,NA
5383738,2008_Pres-G_ME,2008,ME,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,53,Republican,38,NA,15,11/4/08,57.71,40.38,17.33,2.33,-2.33,1,NA
5383739,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/15/08,700,Democrat,52,Republican,46,NA,6,11/4/08,49.29,49.43,-0.14,6.14,6.14,0,NA
5383740,2008_Pres-G_MS,2008,MS,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,40,Republican,50,NA,-10,11/4/08,43,56.18,-13.18,3.18,3.18,1,NA
5383741,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,46,Republican,44,NA,2,11/4/08,49.7,49.37,0.33,1.67,1.67,1,NA
5383742,2008_Pres-G_ND,2008,ND,Pres-G,Pres-G,Research 2000,NA,10/15/08,500,Democrat,45,Republican,45,NA,0,11/4/08,44.62,53.25,-8.63,8.63,8.63,0.5,NA
5383743,2008_Pres-G_OR,2008,OR,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,53,Republican,38,NA,15,11/4/08,56.75,40.4,16.35,1.35,-1.35,1,NA
5383744,2008_Pres-G_OR,2008,OR,Pres-G,Pres-G,Riley Research Associates,NA,10/15/08,499,Democrat,48,Republican,34,NA,14,11/4/08,56.75,40.4,16.35,2.35,-2.35,1,NA
5383745,2008_Pres-G_TX,2008,TX,Pres-G,Pres-G,Research 2000,NA,10/15/08,600,Democrat,40,Republican,52,NA,-12,11/4/08,43.68,55.45,-11.77,0.23,-0.23,1,NA
5383746,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/15/08,3000,Democrat,50,Republican,46,NA,4,11/4/08,52.92,45.66,7.26,3.26,-3.26,1,NA
5383747,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Research 2000,NA,10/15/08,1100,Democrat,52,Republican,42,NA,10,11/4/08,52.92,45.66,7.26,2.74,2.74,1,NA
5383748,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/15/08,1210,Democrat,48.7,Republican,43.7,NA,5,11/4/08,52.92,45.66,7.26,2.26,-2.26,1,"previously listed as Zogby Analytics, telephone"
5383749,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,Rainmaker Media Group,NA,10/15/08,600,Democrat,41.3,Republican,41.7,NA,-0.4,11/4/08,42.59,55.71,-13.12,12.72,12.72,1,NA
5383750,2008_Pres-G_WY,2008,WY,Pres-G,Pres-G,Research 2000,NA,10/15/08,500,Democrat,35,Republican,58,NA,-23,11/4/08,31.31,62.33,-31.02,8.02,8.02,1,NA
5383771,2008_Pres-G_AL,2008,AL,Pres-G,Pres-G,Capital Survey Research Center,NA,10/16/08,606,Democrat,34,Republican,54,NA,-20,11/4/08,38.74,60.32,-21.58,1.58,1.58,1,NA
5383772,2008_Pres-G_CA,2008,CA,Pres-G,Pres-G,Public Policy Institute of California,NA,10/16/08,1186,Democrat,56,Republican,33,NA,23,11/4/08,61.01,36.95,24.06,1.06,-1.06,1,NA
5383773,2008_Pres-G_CA,2008,CA,Pres-G,Pres-G,SurveyUSA,NA,10/16/08,615,Democrat,59,Republican,35,NA,24,11/4/08,61.01,36.95,24.06,0.06,-0.06,1,NA
5383774,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/16/08,700,Democrat,52,Republican,45,NA,7,11/4/08,53.66,44.71,8.95,1.95,-1.95,1,NA
5383775,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,SurveyUSA,NA,10/16/08,553,Democrat,47,Republican,49,NA,-2,11/4/08,51.03,48.22,2.81,4.81,-4.81,0,NA
5383776,2008_Pres-G_KY,2008,KY,Pres-G,Pres-G,Research 2000,NA,10/16/08,600,Democrat,39,Republican,53,NA,-14,11/4/08,41.17,57.4,-16.23,2.23,2.23,1,NA
5383777,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,Research 2000,NA,10/16/08,600,Democrat,52,Republican,39,NA,13,11/4/08,54.06,43.82,10.24,2.76,2.76,1,NA
5383778,2008_Pres-G_MT,2008,MT,Pres-G,Pres-G,Research 2000,NA,10/16/08,500,Democrat,45,Republican,49,NA,-4,11/4/08,47.25,49.51,-2.26,1.74,-1.74,1,NA
5383779,2008_Pres-G_NV,2008,NV,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/16/08,700,Democrat,50,Republican,45,NA,5,11/4/08,55.15,42.65,12.5,7.5,-7.5,1,NA
5383780,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Muhlenberg College,NA,10/16/08,593,Democrat,52,Republican,40,NA,12,11/4/08,54.56,44.23,10.33,1.67,1.67,1,NA
5383781,2008_Pres-G_TN,2008,TN,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/16/08,500,Democrat,42,Republican,54,NA,-12,11/4/08,40.28,54.79,-14.51,2.51,2.51,1,NA
5383782,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Franklin & Marshall College,NA,10/16/08,800,Democrat,50,Republican,45,NA,5,11/4/08,52.92,45.66,7.26,2.26,-2.26,1,NA
5383783,2008_Pres-G_US,2008,US,Pres-G,Pres-G,George Washington University (Battleground),NA,10/16/08,1000,Democrat,48,Republican,47,NA,1,11/4/08,52.92,45.66,7.26,6.26,-6.26,1,NA
5383784,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/16/08,700,Democrat,54,Republican,44,NA,10,11/4/08,52.63,46.33,6.3,3.7,3.7,1,NA
5383792,2008_Pres-G_IL,2008,IL,Pres-G,Pres-G,Market Shares Corp.,NA,10/17/08,500,Democrat,56,Republican,32,NA,24,11/4/08,61.92,36.78,25.14,1.14,-1.14,1,NA
5383793,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,Princeton Survey Research Associates International,NA,10/17/08,1049,Democrat,52,Republican,41,NA,11,11/4/08,54.06,43.82,10.24,0.76,0.76,1,for Star Tribune
5383794,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,SurveyUSA,NA,10/17/08,655,Democrat,50,Republican,44,NA,6,11/4/08,54.06,43.82,10.24,4.24,-4.24,1,NA
5383795,2008_Pres-G_NJ,2008,NJ,Pres-G,Pres-G,Monmouth University,NA,10/17/08,723,Democrat,55,Republican,38,NA,17,11/4/08,57.27,41.7,15.57,1.43,1.43,1,NA
5383796,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/17/08,625,Democrat,45,Republican,46,NA,-1,11/4/08,50.62,46.1,4.52,5.52,-5.52,0,NA
5383797,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Financial Dynamics,NA,10/17/08,795,Democrat,48,Republican,41,NA,7,11/4/08,52.92,45.66,7.26,0.26,-0.26,1,aka Hotline/Diageo
5383798,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Gallup,NA,10/17/08,2277,Democrat,51,Republican,44,NA,7,11/4/08,52.92,45.66,7.26,0.26,-0.26,1,NA
5383799,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Greenberg Quinlan Rosner (Democracy Corps),NA,10/17/08,1000,Democrat,49,Republican,44,NA,5,11/4/08,52.92,45.66,7.26,2.26,-2.26,1,NA
5383800,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/17/08,625,Democrat,51,Republican,39,NA,12,11/4/08,56.34,42.41,13.93,1.93,-1.93,1,NA
5383801,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/17/08,625,Democrat,41,Republican,47,NA,-6,11/4/08,42.59,55.71,-13.12,7.12,7.12,1,NA
5383802,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,Public Policy Polling,NA,10/17/08,1223,Democrat,42,Republican,50,NA,-8,11/4/08,42.59,55.71,-13.12,5.12,5.12,1,NA
5383817,2008_Pres-G_AK,2008,AK,Pres-G,Pres-G,Ivan Moore Research,NA,10/18/08,500,Democrat,42,Republican,53,NA,-11,11/4/08,37.89,59.42,-21.53,10.53,10.53,1,NA
5383818,2008_Pres-G_AZ,2008,AZ,Pres-G,Pres-G,Zimmerman & Associates/Marketing Intelligence,NA,10/18/08,408,Democrat,41.5,Republican,43.5,NA,-2,11/4/08,45.12,53.64,-8.52,6.52,6.52,1,NA
5383819,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Public Policy Polling,NA,10/18/08,1158,Democrat,48,Republican,47,NA,1,11/4/08,51.03,48.22,2.81,1.81,-1.81,1,NA
5383820,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,Greenberg Quinlan Rosner (Democracy Corps),NA,10/18/08,600,Democrat,44,Republican,46,NA,-2,11/4/08,46.99,52.2,-5.21,3.21,3.21,1,NA
5383821,2008_Pres-G_ME,2008,ME,Pres-G,Pres-G,Critical Insights,NA,10/18/08,443,Democrat,56,Republican,35,NA,21,11/4/08,57.71,40.38,17.33,3.67,3.67,1,NA
5383822,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,National Journal,NA,10/18/08,412,Democrat,50,Republican,40,NA,10,11/4/08,54.06,43.82,10.24,0.24,-0.24,1,NA
5383823,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,St. Cloud State University,NA,10/18/08,417,Democrat,43,Republican,37,NA,6,11/4/08,54.06,43.82,10.24,4.24,-4.24,1,NA
5383824,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,Suffolk University,NA,10/18/08,600,Democrat,44,Republican,45,NA,-1,11/4/08,49.29,49.43,-0.14,0.86,-0.86,1,NA
5383825,2008_Pres-G_MS,2008,MS,Pres-G,Pres-G,University of South Alabama,NA,10/18/08,403,Democrat,33,Republican,46,NA,-13,11/4/08,43,56.18,-13.18,0.18,0.18,1,NA
5383826,2008_Pres-G_MT,2008,MT,Pres-G,Pres-G,Montana State University Billings,NA,10/18/08,403,Democrat,44.4,Republican,40.2,NA,4.2,11/4/08,47.25,49.51,-2.26,6.46,6.46,0,NA
5383827,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,Research 2000,NA,10/18/08,600,Democrat,50,Republican,43,NA,7,11/4/08,54.13,44.52,9.61,2.61,-2.61,1,NA
5383828,2008_Pres-G_NJ,2008,NJ,Pres-G,Pres-G,Quinnipiac University,NA,10/18/08,1184,Democrat,59,Republican,36,NA,23,11/4/08,57.27,41.7,15.57,7.43,7.43,1,NA
5383829,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Ohio University,NA,10/18/08,611,Democrat,57,Republican,41,NA,16,11/4/08,50.62,46.1,4.52,11.48,11.48,1,NA
5383830,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Suffolk University,NA,10/18/08,600,Democrat,51,Republican,42,NA,9,11/4/08,50.62,46.1,4.52,4.48,4.48,1,NA
5383831,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,National Journal,NA,10/18/08,402,Democrat,51,Republican,41,NA,10,11/4/08,54.56,44.23,10.33,0.33,-0.33,1,NA
5383832,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,"Susquehanna Polling & Research, Inc.",NA,10/18/08,700,Democrat,48,Republican,40,NA,8,11/4/08,54.56,44.23,10.33,2.33,-2.33,1,NA
5383833,2008_Pres-G_SC,2008,SC,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/18/08,500,Democrat,43,Republican,54,NA,-11,11/4/08,44.9,53.87,-8.97,2.03,-2.03,1,NA
5383834,2008_Pres-G_US,2008,US,Pres-G,Pres-G,GfK Group,NA,10/18/08,800,Democrat,44,Republican,43,NA,1,11/4/08,52.92,45.66,7.26,6.26,-6.26,1,NA
5383835,2008_Pres-G_US,2008,US,Pres-G,Pres-G,CBS News/New York Times,NA,10/18/08,327,Democrat,54,Republican,41,NA,13,11/4/08,52.92,45.66,7.26,5.74,5.74,1,NA
5383836,2008_Pres-G_US,2008,US,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/18/08,746,Democrat,49,Republican,43,NA,6,11/4/08,52.92,45.66,7.26,1.26,-1.26,1,NA
5383837,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Harris Interactive,NA,10/18/08,1390,Democrat,50,Republican,44,NA,6,11/4/08,52.92,45.66,7.26,1.26,-1.26,1,"previously listed as Harris Interactive, online"
5383838,2008_Pres-G_US,2008,US,Pres-G,Pres-G,IBD/TIPP,NA,10/18/08,1088,Democrat,46.9,Republican,40.9,NA,6,11/4/08,52.92,45.66,7.26,1.26,-1.26,1,NA
5383839,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Ipsos,NA,10/18/08,773,Democrat,50,Republican,42,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,"previously listed as Ipsos, telephone"
5383840,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Pew Research Center,NA,10/18/08,2382,Democrat,53,Republican,39,NA,14,11/4/08,52.92,45.66,7.26,6.74,6.74,1,NA
5383841,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/18/08,3000,Democrat,50,Republican,46,NA,4,11/4/08,52.92,45.66,7.26,3.26,-3.26,1,NA
5383842,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Research 2000,NA,10/18/08,1100,Democrat,50,Republican,42,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,NA
5383843,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/18/08,1211,Democrat,49.8,Republican,44.4,NA,5.4,11/4/08,52.92,45.66,7.26,1.86,-1.86,1,"previously listed as Zogby Analytics, telephone"
5383844,2008_Pres-G_WA,2008,WA,Pres-G,Pres-G,Elway Research,NA,10/18/08,405,Democrat,55,Republican,36,NA,19,11/4/08,57.65,40.48,17.17,1.83,1.83,1,NA
5383845,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,National Journal,NA,10/18/08,405,Democrat,53,Republican,40,NA,13,11/4/08,56.34,42.41,13.93,0.93,-0.93,1,NA
5383862,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/19/08,1000,Democrat,51,Republican,46,NA,5,11/4/08,53.66,44.71,8.95,3.95,-3.95,1,NA
5383863,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,951,Democrat,48.2,Republican,47.9,NA,0.3,11/4/08,53.66,44.71,8.95,8.65,-8.65,1,NA
5383864,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Quinnipiac University,NA,10/19/08,1433,Democrat,49,Republican,44,NA,5,11/4/08,51.03,48.22,2.81,2.19,2.19,1,NA
5383865,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/19/08,1000,Democrat,48,Republican,49,NA,-1,11/4/08,51.03,48.22,2.81,3.81,-3.81,0,NA
5383866,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,1252,Democrat,48.8,Republican,45.2,NA,3.6,11/4/08,51.03,48.22,2.81,0.79,0.79,1,NA
5383867,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Public Policy Polling,NA,10/19/08,1411,Democrat,48,Republican,46,NA,2,11/4/08,49.77,48.74,1.03,0.97,0.97,1,NA
5383868,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,473,Democrat,42.3,Republican,52.8,NA,-10.5,11/4/08,49.77,48.74,1.03,11.53,-11.53,0,NA
5383869,2008_Pres-G_KY,2008,KY,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,535,Democrat,41,Republican,54,NA,-13,11/4/08,41.17,57.4,-16.23,3.23,3.23,1,NA
5383870,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/19/08,1000,Democrat,49,Republican,44,NA,5,11/4/08,49.29,49.43,-0.14,5.14,5.14,0,NA
5383871,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,717,Democrat,48,Republican,48.3,NA,-0.3,11/4/08,49.29,49.43,-0.14,0.16,-0.16,1,NA
5383872,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/19/08,698,Democrat,49,Republican,48,NA,1,11/4/08,49.7,49.37,0.33,0.67,0.67,1,previously listed as InsiderAdvantage
5383873,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Public Policy Polling,NA,10/19/08,1200,Democrat,51,Republican,44,NA,7,11/4/08,49.7,49.37,0.33,6.67,6.67,1,NA
5383874,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/19/08,1000,Democrat,51,Republican,48,NA,3,11/4/08,49.7,49.37,0.33,2.67,2.67,1,NA
5383875,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,627,Democrat,47,Republican,47,NA,0,11/4/08,49.7,49.37,0.33,0.33,-0.33,0.5,NA
5383876,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Tel Opinion Research,NA,10/19/08,600,Democrat,48,Republican,45,NA,3,11/4/08,49.7,49.37,0.33,2.67,2.67,1,aka Civitas
5383877,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,921,Democrat,49.6,Republican,46.5,NA,3.1,11/4/08,49.7,49.37,0.33,2.77,2.77,1,NA
5383878,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,466,Democrat,46.5,Republican,46.2,NA,0.3,11/4/08,54.13,44.52,9.61,9.31,-9.31,1,NA
5383879,2008_Pres-G_NM,2008,NM,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,534,Democrat,46.1,Republican,45.5,NA,0.6,11/4/08,56.91,41.78,15.13,14.53,-14.53,1,NA
5383880,2008_Pres-G_NV,2008,NV,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/19/08,690,Democrat,47,Republican,47,NA,0,11/4/08,55.15,42.65,12.5,12.5,-12.5,0.5,previously listed as InsiderAdvantage
5383881,2008_Pres-G_NV,2008,NV,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,670,Democrat,44,Republican,51.5,NA,-7.5,11/4/08,55.15,42.65,12.5,20,-20,0,NA
5383882,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Quinnipiac University,NA,10/19/08,1360,Democrat,52,Republican,38,NA,14,11/4/08,50.62,46.1,4.52,9.48,9.48,1,NA
5383883,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/19/08,1000,Democrat,47,Republican,49,NA,-2,11/4/08,50.62,46.1,4.52,6.52,-6.52,0,NA
5383884,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,991,Democrat,46.5,Republican,49.3,NA,-2.8,11/4/08,50.62,46.1,4.52,7.32,-7.32,0,NA
5383885,2008_Pres-G_OK,2008,OK,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,561,Democrat,35,Republican,59,NA,-24,11/4/08,34.35,65.65,-31.3,7.3,7.3,1,NA
5383886,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Quinnipiac University,NA,10/19/08,1425,Democrat,53,Republican,40,NA,13,11/4/08,54.56,44.23,10.33,2.67,2.67,1,NA
5383887,2008_Pres-G_TX,2008,TX,Pres-G,Pres-G,University of Texas,NA,10/19/08,550,Democrat,40,Republican,51,NA,-11,11/4/08,43.68,55.45,-11.77,0.77,0.77,1,"previously listed as University of Texas, telephone"
5383888,2008_Pres-G_US,2008,US,Pres-G,Pres-G,American Research Group,NA,10/19/08,1200,Democrat,49,Republican,45,NA,4,11/4/08,52.92,45.66,7.26,3.26,-3.26,1,NA
5383889,2008_Pres-G_US,2008,US,Pres-G,Pres-G,NBC News/Wall Street Journal,NA,10/19/08,1159,Democrat,50,Republican,39,NA,11,11/4/08,52.92,45.66,7.26,3.74,3.74,1,NA
5383890,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,652,Democrat,51,Republican,45,NA,6,11/4/08,52.63,46.33,6.3,0.3,-0.3,1,NA
5383891,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/19/08,922,Democrat,49.7,Republican,46.1,NA,3.6,11/4/08,52.63,46.33,6.3,2.7,-2.7,1,NA
5383892,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,641,Democrat,51,Republican,43,NA,8,11/4/08,56.34,42.41,13.93,5.93,-5.93,1,NA
5383893,2008_Pres-G_WY,2008,WY,Pres-G,Pres-G,SurveyUSA,NA,10/19/08,604,Democrat,37,Republican,58,NA,-21,11/4/08,31.31,62.33,-31.02,10.02,10.02,1,NA
5383908,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/20/08,576,Democrat,51,Republican,46,NA,5,11/4/08,53.66,44.71,8.95,3.95,-3.95,1,previously listed as InsiderAdvantage
5383909,2008_Pres-G_CT,2008,CT,Pres-G,Pres-G,University of Connecticut,NA,10/20/08,502,Democrat,56,Republican,31,NA,25,11/4/08,60.59,38.22,22.37,2.63,2.63,1,NA
5383910,2008_Pres-G_KY,2008,KY,Pres-G,Pres-G,Research 2000,NA,10/20/08,600,Democrat,39,Republican,55,NA,-16,11/4/08,41.17,57.4,-16.23,0.23,0.23,1,NA
5383911,2008_Pres-G_ME,2008,ME,Pres-G,Pres-G,Market Decisions,NA,10/20/08,425,Democrat,54,Republican,33,NA,21,11/4/08,57.71,40.38,17.33,3.67,3.67,1,NA
5383912,2008_Pres-G_ME,2008,ME,Pres-G,Pres-G,SurveyUSA,NA,10/20/08,642,Democrat,54,Republican,39,NA,15,11/4/08,57.71,40.38,17.33,2.33,-2.33,1,NA
5383913,2008_Pres-G_MI,2008,MI,Pres-G,Pres-G,EPIC-MRA,NA,10/20/08,400,Democrat,51,Republican,37,NA,14,11/4/08,57.43,40.96,16.47,2.47,-2.47,1,NA
5383914,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/20/08,644,Democrat,51,Republican,46,NA,5,11/4/08,49.7,49.37,0.33,4.67,4.67,1,NA
5383915,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,University of New Hampshire,NA,10/20/08,725,Democrat,54,Republican,39,NA,15,11/4/08,54.13,44.52,9.61,5.39,5.39,1,NA
5383916,2008_Pres-G_NV,2008,NV,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/20/08,700,Democrat,49,Republican,43,NA,6,11/4/08,55.15,42.65,12.5,6.5,-6.5,1,NA
5383917,2008_Pres-G_NY,2008,NY,Pres-G,Pres-G,Siena College,NA,10/20/08,721,Democrat,62,Republican,31,NA,31,11/4/08,62.91,36.04,26.87,4.13,4.13,1,NA
5383918,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/20/08,737,Democrat,49,Republican,44,NA,5,11/4/08,50.62,46.1,4.52,0.48,0.48,1,NA
5383919,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,University of Cincinnati (Ohio Poll),NA,10/20/08,886,Democrat,49,Republican,46,NA,3,11/4/08,50.62,46.1,4.52,1.52,-1.52,1,NA
5383920,2008_Pres-G_OK,2008,OK,Pres-G,Pres-G,SoonerPoll.com,NA,10/20/08,763,Democrat,32.4,Republican,63.7,NA,-31.3,11/4/08,34.35,65.65,-31.3,0,0,1,NA
